-6.17398546,-5.97565664,-13.99985267
-6.1421213,-5.97149481,-14.05684996
-6.1696329,-5.99230779,-14.01626922
-6.1393957,-5.94714941,-13.81192351
-6.14527796,-5.96108068,-13.77697707
-6.13358019,-5.95324911,-13.82048751
-6.14840029,-5.99095548,-13.91158248
-6.12157915,-5.94587911,-13.81002189
-6.14198397,-5.95447172,-13.75986815
-6.14108561,-5.93196501,-13.62940741
-6.15006541,-5.92119993,-13.65612555
-6.15432261,-5.93301214,-13.68796874
-6.1391878,-5.93185819,-11.14759589
-6.12806414,-5.93905081,-13.41858817
-6.15335749,-5.91816915,-11.16287948
-6.12852953,-5.93297972,-11.20193244
-6.13896082,-5.97859205,-11.15929557
-6.11944102,-5.98034109,-12.65037299
-6.12351321,-6.0075971,-14.05325843
-6.11749171,-5.56925024,-14.0637889
-6.15666292,-5.97684683,-14.06373549
-6.13792895,-6.00645841,-13.93680144
-6.12714289,-6.00068487,-13.99498893
-6.12435244,-6.00252737,-14.03469611
-6.12986658,-5.99932684,-14.11313201
-6.12556361,-5.97558225,-14.07945395
-6.11469553,-5.99435057,-14.02033187
-6.09398745,-5.96649755,-14.0107379
-6.14157389,-5.95041097,-13.98422004
-6.11519144,-5.94041075,-10.68320609
-6.11739252,-5.96947874,-13.74156905
-6.12783526,-5.94282926,-13.76371909
-6.14683817,-5.96005453,-10.62573577
-6.12140749,-5.94711889,-11.04780341
-6.14299677,-5.9380895,-14.00018073
-6.15766238,-5.93322386,-13.94074012
-6.15873812,-5.95920194,-13.99484778
-6.13742922,-5.93480314,-14.05336333
-6.11851214,-5.94996084,-13.99641944
-6.11675547,-5.92703642,-9.95840789
-6.12521456,-5.95169462,-9.95631171
-6.09550761,-5.92859663,-13.32803679
-6.14283846,-5.91292967,-13.37841178
-6.13320826,-5.90269483,-13.3625579
-6.13951968,-5.94555487,-13.3439231
-6.14232538,-5.93498434,-13.36101104
-6.14881991,-5.95443548,-13.79543067
-6.12087153,-5.93964018,-13.94074584
-6.12838076,-5.95446028,-9.92545081
-6.1237192,-5.93691458,-13.76509238
-6.1328039,-5.94796003,-13.90929366
-6.10530566,-5.93933119,-13.34200812
-6.15521334,-5.96666921,-13.34333373
-6.16282366,-5.93313993,-13.33366919
-6.1726446,-5.94384779,-13.27894355
-6.16572283,-5.92320455,-9.91907836
-6.19742869,-5.9373361,-9.88398696
-6.16219614,-5.92745031,-9.88009787
-6.17985056,-5.93169607,-9.8714862
-6.15389727,-5.93981756,-9.30899382
-6.15554713,-5.92365469,-9.83801032
-6.14692782,-5.94706358,-13.25648261
-6.18764208,-5.93465055,-13.28758002
-6.17456339,-5.91943563,-13.28236152
-6.17057703,-5.92504133,-13.29255439
-6.15167139,-5.93556608,-13.28558684
-6.13923739,-5.9306909,-13.33563376
-6.13104723,-5.91102804,-13.37910796
-6.13408755,-5.96745886,-14.00278045
-6.11869715,-5.95341886,-13.9443946
-6.14682291,-5.9516641,-13.39834548
-6.12877367,-5.91738523,-13.3801303
-6.17567538,-5.95837416,-13.36323691
-6.139863,-5.92410673,-13.38329841
-6.14607332,-5.95118917,-13.35514022
-6.15069102,-5.96155371,-14.08933211
-6.13885973,-5.9604093,-14.18404342
-6.15918062,-5.93685926,-14.16426993
-6.17124079,-5.95494093,-13.82400084
-6.14837549,-5.93721975,-14.10196448
